RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  308308    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   44   49     0     0  con    0  1.0E+00  2.2E+00  7.643E-02  3.019E+01
   45   50     0     0  con    0  1.0E+00  2.3E+00  3.731E-02  3.009E+01
   46   51     0     0  con    0  1.0E+00  1.4E+00  2.604E-02  3.002E+01
   47   52     0     0  con    0  1.0E+00  1.5E+00  1.837E-02  2.996E+01
   48   53     0     0  con    0  1.0E+00  6.4E-01  1.676E-02  2.992E+01
   49   54     0     0  con    0  1.0E+00  1.1E+00  2.113E-02  2.985E+01
   50   55     0     0  con    0  1.0E+00  1.9E+00  7.111E-02  2.980E+01
   51   56     0     0  con    0  1.0E+00  9.6E-01  3.716E-02  2.971E+01
   52   57     0     0  con    0  1.0E+00  1.8E+00  2.537E-02  2.961E+01
   53   58     0     0  con    0  1.0E+00  2.0E+00  4.819E-02  2.953E+01
   54   60     0     0  con    1  4.7E-01  1.2E+00  3.188E-02  2.949E+01
   55   61     0     0  con    0  1.0E+00  1.0E+00  1.359E-02  2.946E+01
   56   62     0     0  con    0  1.0E+00  4.5E-01  1.100E-02  2.943E+01
   57   63     0     0  con    0  1.0E+00  9.1E-01  2.174E-02  2.939E+01
   58   64     0     0  con    0  1.0E+00  1.7E+00  3.274E-02  2.933E+01
   59   65     0     0  con    0  1.0E+00  2.7E+00  7.011E-02  2.928E+01
   60   66     0     0  con    0  1.0E+00  1.2E+00  1.902E-02  2.923E+01
   61   67     0     0  con    0  1.0E+00  3.6E-01  7.771E-03  2.921E+01
   62   68     0     0  con    0  1.0E+00  2.6E-01  1.368E-02  2.919E+01
   63   69     0     0  con    0  1.0E+00  3.3E-01  1.765E-02  2.917E+01
   64   70     0     0  con    0  1.0E+00  1.2E+00  2.744E-02  2.913E+01
   65   71     0     0  con    0  1.0E+00  1.9E+00  4.652E-02  2.910E+01
   66   72     0     0  con    0  1.0E+00  1.1E+00  1.315E-02  2.906E+01
   67   73     0     0  con    0  1.0E+00  1.6E-01  5.640E-03  2.904E+01
   68   74     0     0  con    0  1.0E+00  2.5E-01  9.488E-03  2.903E+01
   69   75     0     0  con    0  1.0E+00  3.7E-01  1.498E-02  2.902E+01
   70   76     0     0  con    0  1.0E+00  1.5E+00  2.652E-02  2.898E+01
   71   77     0     0  con    0  1.0E+00  2.5E+00  5.133E-02  2.892E+01
   72   79     0     0  con    1  4.9E-01  2.2E+00  2.523E-02  2.889E+01
   73   80     0     0  con    0  1.0E+00  1.3E+00  1.360E-02  2.884E+01
   74   81     0     0  con    0  1.0E+00  5.9E-01  1.153E-02  2.882E+01
   75   82     0     0  con    0  1.0E+00  3.6E-01  1.030E-02  2.881E+01
   76   83     0     0  con    0  1.0E+00  1.1E+00  1.932E-02  2.878E+01
   77   84     0     0  con    0  1.0E+00  1.8E+00  3.756E-02  2.869E+01
   78   85     0     0  con    0  1.0E+00  3.0E+00  3.361E-02  2.868E+01
   79   86     0     0  con    0  1.0E+00  4.9E-01  9.534E-03  2.864E+01
   80   87     0     0  con    0  1.0E+00  3.2E-01  6.975E-03  2.862E+01
   81   88     0     0  con    0  1.0E+00  5.9E-01  1.422E-02  2.861E+01
   82   89     0     0  con    0  1.0E+00  1.1E+00  1.701E-02  2.858E+01
   83   90     0     0  con    0  1.0E+00  2.6E+00  4.480E-02  2.857E+01
   84   91     0     0  con    0  1.0E+00  3.1E-01  1.799E-02  2.854E+01
   85   92     0     0  con    0  1.0E+00  2.4E-01  6.308E-03  2.853E+01
   86   93     0     0  con    0  1.0E+00  6.4E-01  1.361E-02  2.851E+01
   87   94     0     0  con    0  1.0E+00  9.2E-01  1.722E-02  2.849E+01
   88   95     0     0  con    0  1.0E+00  1.8E+00  1.976E-02  2.848E+01
   89   96     0     0  con    0  1.0E+00  9.8E-01  1.026E-02  2.845E+01
   90   97     0     0  con    0  1.0E+00  2.4E-01  8.554E-03  2.844E+01
   91   98     0     0  con    0  1.0E+00  5.6E-01  1.655E-02  2.843E+01
   92   99     0     0  con    0  1.0E+00  7.3E-01  2.056E-02  2.841E+01
   93  100     0     0  con    0  1.0E+00  1.6E+00  2.338E-02  2.841E+01
   94  101     0     0  con    0  1.0E+00  1.6E-01  8.424E-03  2.839E+01
   95  102     0     0  con    0  1.0E+00  9.8E-02  3.757E-03  2.839E+01
   96  103     0     0  con    0  1.0E+00  1.9E-01  1.148E-02  2.838E+01
   97  104     0     0  con    0  1.0E+00  4.0E-01  2.135E-02  2.837E+01
   98  105     0     0  con    0  1.0E+00  1.0E+00  2.992E-02  2.835E+01
   99  106     0     0  con    0  1.0E+00  1.7E+00  3.695E-02  2.835E+01
  100  107     0     0  con    0  1.0E+00  4.9E-01  1.410E-02  2.833E+01
  101  108     0     0  con    0  1.0E+00  2.2E-01  2.826E-03  2.832E+01
  102  109     0     0  con    0  1.0E+00  3.4E-01  8.786E-03  2.832E+01
  103  110     0     0  con    0  1.0E+00  4.4E-01  1.738E-02  2.831E+01
  104  111     0     0  con    0  1.0E+00  1.1E+00  2.543E-02  2.829E+01
  105  112     0     0  con    0  1.0E+00  1.5E+00  1.913E-02  2.828E+01
  106  113     0     0  con    0  1.0E+00  1.6E+00  1.269E-02  2.827E+01
  107  114     0     0  con    0  1.0E+00  6.0E-01  2.942E-03  2.826E+01
  108  115     0     0  con    0  1.0E+00  2.2E-01  8.648E-03  2.826E+01
  109  116     0     0  con    0  1.0E+00  2.9E-01  1.466E-02  2.825E+01
  110  117     0     0  con    0  1.0E+00  7.6E-01  1.773E-02  2.824E+01
  111  118     0     0  con    0  1.0E+00  1.1E+00  1.364E-02  2.823E+01
  112  119     0     0  con    0  1.0E+00  8.9E-01  2.629E-03  2.822E+01
  113  120     0     0  con    0  1.0E+00  1.2E+00  1.131E-02  2.822E+01
  114  121     0     0  con    0  1.0E+00  7.4E-01  1.313E-02  2.821E+01
  115  122     0     0  con    0  1.0E+00  1.0E+00  9.733E-03  2.820E+01
  116  124     0     0  con    1  3.8E-01  4.9E-01  1.272E-02  2.820E+01
  117  125     0     0  con    0  1.0E+00  3.8E-01  5.403E-03  2.819E+01
  118  126     0     0  con    0  1.0E+00  3.1E-01  8.294E-03  2.819E+01
  119  127     0     0  con    0  1.0E+00  5.8E-01  8.816E-03  2.818E+01
  120  128     0     0  con    0  1.0E+00  1.4E+00  2.104E-02  2.817E+01
  121  129     0     0  con    0  1.0E+00  4.4E-01  7.450E-03  2.816E+01
  122  130     0     0  con    0  1.0E+00  7.7E-01  4.754E-03  2.815E+01
  123  131     0     0  con    0  1.0E+00  1.1E+00  5.658E-03  2.815E+01
  124  132     0     0  con    0  1.0E+00  1.1E+00  1.303E-02  2.814E+01
  125  133     0     0  con    0  1.0E+00  1.3E+00  6.091E-03  2.814E+01
  126  134     0     0  con    0  1.0E+00  1.2E+00  5.371E-03  2.813E+01
  127  135     0     0  con    0  1.0E+00  9.8E-01  1.187E-02  2.812E+01
  128  136     0     0  con    0  1.0E+00  1.5E+00  1.618E-02  2.812E+01
  129  137     0     0  con    0  1.0E+00  5.3E-01  5.985E-03  2.811E+01
  130  138     0     0  con    0  1.0E+00  4.9E-01  4.160E-03  2.810E+01
  131  139     0     0  con    0  1.0E+00  5.2E-01  7.072E-03  2.810E+01
  132  140     0     0  con    0  1.0E+00  7.5E-01  7.861E-03  2.809E+01
  133  141     0     0  con    0  1.0E+00  8.2E-01  3.582E-03  2.809E+01
  134  142     0     0  con    0  1.0E+00  6.6E-01  3.574E-03  2.808E+01
  135  143     0     0  con    0  1.0E+00  1.5E+00  8.798E-03  2.808E+01
  136  144     0     0  con    0  1.0E+00  6.6E-01  1.027E-02  2.807E+01
  137  145     0     0  con    0  1.0E+00  2.4E-01  6.425E-03  2.807E+01
  138  146     0     0  con    0  1.0E+00  5.8E-01  9.525E-03  2.807E+01
  139  147     0     0  con    0  1.0E+00  4.1E-01  1.118E-02  2.806E+01
  140  148     0     0  con    0  1.0E+00  1.3E+00  7.441E-03  2.805E+01
  141  150     0     0  con    1  2.9E-01  4.2E-01  1.208E-02  2.805E+01
  142  151     0     0  con    0  1.0E+00  2.0E-01  4.157E-03  2.804E+01
  143  152     0     0  con    0  1.0E+00  1.6E-01  3.595E-03  2.804E+01
  144  153     0     0  con    0  1.0E+00  2.5E-01  6.920E-03  2.804E+01
  145  154     0     0  con    0  1.0E+00  8.9E-01  1.095E-02  2.803E+01
  146  155     0     0  con    0  1.0E+00  1.3E+00  1.337E-02  2.803E+01
  147  156     0     0  con    0  1.0E+00  8.3E-01  4.210E-03  2.802E+01
  148  157     0     0  con    0  1.0E+00  7.8E-02  2.481E-03  2.802E+01
  149  158     0     0  con    0  1.0E+00  2.0E-01  7.647E-03  2.802E+01
  150  159     0     0  con    0  1.0E+00  3.8E-01  1.090E-02  2.801E+01
  151  160     0     0  con    0  1.0E+00  1.2E+00  1.264E-02  2.801E+01
  152  162     0     0  con    1  2.0E-01  4.6E-01  1.372E-02  2.801E+01
  153  163     0     0  con    0  1.0E+00  1.0E+00  6.081E-03  2.800E+01
  154  164     0     0  con    0  1.0E+00  6.5E-01  2.940E-03  2.800E+01
  155  165     0     0  con    0  1.0E+00  5.1E-01  6.675E-03  2.799E+01
  156  166     0     0  con    0  1.0E+00  5.5E-01  8.087E-03  2.799E+01
  157  167     0     0  con    0  1.0E+00  1.1E+00  2.352E-02  2.799E+01
  158  168     0     0  con    0  1.0E+00  1.2E-01  5.690E-03  2.798E+01
  159  169     0     0  con    0  1.0E+00  7.3E-02  2.632E-03  2.798E+01
  160  170     0     0  con    0  1.0E+00  1.6E-01  8.105E-03  2.798E+01
  161  171     0     0  con    0  1.0E+00  2.9E-01  1.228E-02  2.798E+01
  162  172     0     0  con    0  1.0E+00  6.6E-01  1.358E-02  2.797E+01
