RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   53   55     0     0  con    0  1.0D+00  3.0D+00  1.224D-01  7.779D+01
   54   56     0     0  con    0  1.0D+00  5.8D-01  3.500D-02  7.761D+01
   55   57     0     0  con    0  1.0D+00  7.7D-01  3.019D-02  7.750D+01
   56   58     0     0  con    0  1.0D+00  1.0D+00  2.981D-02  7.735D+01
   57   59     0     0  con    0  1.0D+00  1.6D+00  4.741D-02  7.724D+01
   58   60     0     0  con    0  1.0D+00  4.7D-01  3.544D-02  7.712D+01
   59   61     0     0  con    0  1.0D+00  9.5D-01  2.902D-02  7.696D+01
   60   62     0     0  con    0  1.0D+00  1.1D+00  4.959D-02  7.679D+01
   61   63     0     0  con    0  1.0D+00  2.0D+00  3.987D-02  7.657D+01
   62   64     0     0  con    0  1.0D+00  2.2D+00  3.833D-02  7.639D+01
   63   65     0     0  con    0  1.0D+00  9.6D-01  3.487D-02  7.623D+01
   64   66     0     0  con    0  1.0D+00  1.1D+00  2.650D-02  7.610D+01
   65   67     0     0  con    0  1.0D+00  1.7D+00  6.926D-02  7.596D+01
   66   68     0     0  con    0  1.0D+00  1.8D+00  3.740D-02  7.580D+01
   67   69     0     0  con    0  1.0D+00  1.2D+00  3.971D-02  7.566D+01
   68   70     0     0  con    0  1.0D+00  1.6D+00  3.746D-02  7.551D+01
   69   71     0     0  con    0  1.0D+00  1.4D+00  3.659D-02  7.540D+01
   70   72     0     0  con    0  1.0D+00  9.0D-01  2.639D-02  7.528D+01
   71   73     0     0  con    0  1.0D+00  9.6D-01  2.136D-02  7.517D+01
   72   74     0     0  con    0  1.0D+00  1.4D+00  5.865D-02  7.506D+01
   73   75     0     0  con    0  1.0D+00  1.6D+00  3.152D-02  7.494D+01
   74   76     0     0  con    0  1.0D+00  1.0D+00  2.741D-02  7.485D+01
   75   77     0     0  con    0  1.0D+00  1.4D+00  2.408D-02  7.475D+01
   76   78     0     0  con    0  1.0D+00  1.2D+00  4.621D-02  7.465D+01
   77   79     0     0  con    0  1.0D+00  1.5D+00  2.388D-02  7.453D+01
   78   80     0     0  con    0  1.0D+00  9.3D-01  2.522D-02  7.441D+01
   79   81     0     0  con    0  1.0D+00  1.3D+00  4.956D-02  7.431D+01
   80   82     0     0  con    0  1.0D+00  4.6D-01  1.868D-02  7.422D+01
   81   83     0     0  con    0  1.0D+00  5.2D-01  1.568D-02  7.414D+01
   82   84     0     0  con    0  1.0D+00  1.6D+00  4.534D-02  7.403D+01
   83   85     0     0  con    0  1.0D+00  1.9D+00  3.042D-02  7.393D+01
   84   86     0     0  con    0  1.0D+00  7.9D-01  2.042D-02  7.383D+01
   85   87     0     0  con    0  1.0D+00  1.0D+00  2.225D-02  7.374D+01
   86   88     0     0  con    0  1.0D+00  9.7D-01  2.136D-02  7.367D+01
   87   89     0     0  con    0  1.0D+00  2.0D+00  3.751D-02  7.358D+01
   88   90     0     0  con    0  1.0D+00  9.6D-01  2.038D-02  7.349D+01
   89   91     0     0  con    0  1.0D+00  6.6D-01  2.318D-02  7.341D+01
   90   92     0     0  con    0  1.0D+00  1.3D+00  3.819D-02  7.332D+01
   91   93     0     0  con    0  1.0D+00  2.2D+00  6.713D-02  7.325D+01
   92   94     0     0  con    0  1.0D+00  3.1D-01  1.676D-02  7.317D+01
   93   95     0     0  con    0  1.0D+00  5.2D-01  2.067D-02  7.311D+01
   94   96     0     0  con    0  1.0D+00  8.0D-01  2.278D-02  7.306D+01
   95   97     0     0  con    0  1.0D+00  1.8D+00  1.023D-01  7.302D+01
   96   98     0     0  con    0  1.0D+00  4.9D-01  1.695D-02  7.293D+01
   97   99     0     0  con    0  1.0D+00  2.8D-01  1.477D-02  7.289D+01
   98  100     0     0  con    0  1.0D+00  1.0D+00  2.423D-02  7.282D+01
   99  101     0     0  con    0  1.0D+00  1.6D+00  4.667D-02  7.272D+01
  100  102     0     0  con    0  1.0D+00  2.6D+00  5.749D-02  7.267D+01
  101  103     0     0  con    0  1.0D+00  3.8D-01  1.358D-02  7.259D+01
  102  104     0     0  con    0  1.0D+00  2.5D-01  1.815D-02  7.256D+01
  103  105     0     0  con    0  1.0D+00  4.2D-01  1.923D-02  7.252D+01
  104  106     0     0  con    0  1.0D+00  1.2D+00  3.683D-02  7.247D+01
  105  107     0     0  con    0  1.0D+00  7.2D-01  2.235D-02  7.241D+01
  106  108     0     0  con    0  1.0D+00  9.5D-01  1.945D-02  7.235D+01
  107  109     0     0  con    0  1.0D+00  1.0D+00  4.249D-02  7.230D+01
  108  110     0     0  con    0  1.0D+00  1.4D+00  2.582D-02  7.224D+01
  109  111     0     0  con    0  1.0D+00  9.0D-01  1.413D-02  7.218D+01
  110  112     0     0  con    0  1.0D+00  9.3D-01  1.986D-02  7.211D+01
  111  113     0     0  con    0  1.0D+00  8.2D-01  2.420D-02  7.207D+01
  112  114     0     0  con    0  1.0D+00  6.0D-01  1.733D-02  7.202D+01
  113  115     0     0  con    0  1.0D+00  1.5D+00  2.212D-02  7.195D+01
  114  116     0     0  con    0  1.0D+00  1.0D+00  3.527D-02  7.192D+01
  115  117     0     0  con    0  1.0D+00  2.2D-01  1.758D-02  7.189D+01
  116  118     0     0  con    0  1.0D+00  9.6D-01  1.307D-02  7.184D+01
  117  119     0     0  con    0  1.0D+00  7.7D-01  3.214D-02  7.180D+01
